Population,Hap2,Hap9,NewHap_2047,NewHap_2043,NewHap_2015,NewHap_2031,NewHap_2039,NewHap_1919,NewHap_1983,RSS
,1279,2045,2047,2043,2015,2031,2039,1919,1983
Art1,0,12,0,6,0,2,0,0,0,2.958228394578794270293982119E-33
Art2,0,0,0,12,2,6,0,0,0,2.958228394578794270293982119E-33
Art3,6,0,0,0,0,0,0,12,2,4.930380657631323783823303532E-33
Art4,0,0,12,6,0,0,2,0,0,2.465190328815661891911651766E-33
Art5,0,0,0,2,12,0,0,6,0,2.958228394578794270293982119E-33
Art6,2,6,0,0,0,0,0,0,12,3.451266460341926648676312473E-33
Art7,0,2,12,0,0,0,6,0,0,2.465190328815661891911651766E-33
